Schooling,Year, thinness  1-19 years, thinness 5-9 years,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles ,Income composition of resources,under-five deaths ,Polio,Total expenditure,Population, HIV/AIDS,GDP,Life
10.1,2015,17.2,17.3,263,62,0.01,71.27962362,65,1154,0.479,83,6,8.16,33736494,0.1,584.25921,65
10,2014,17.5,17.5,271,64,0.01,73.52358168,62,492,0.476,86,58,8.18,327582,0.1,612.696514,59.9
9.9,2013,17.7,17.7,268,66,0.01,73.21924272,64,430,0.47,89,62,8.13,31731688,0.1,631.744976,59.9
9.8,2012,17.9,18,272,69,0.01,78.1842153,67,2787,0.463,93,67,8.52,3696958,0.1,669.959,59.5
9.5,2011,18.2,18.2,275,71,0.01,7.097108703,68,3013,0.454,97,68,7.87,2978599,0.1,63.537231,59.2
9.2,2010,18.4,18.4,279,74,0.01,79.67936736,66,1989,0.448,102,66,9.2,2883167,0.1,553.32894,58.8
8.9,2009,18.6,18.7,281,77,0.01,56.76221682,63,2861,0.434,106,63,9.42,284331,0.1,445.8932979,58.6
8.7,2008,18.8,18.9,287,80,0.03,25.87392536,64,1599,0.433,110,64,8.33,2729431,0.1,373.3611163,58.1
8.4,2007,19,19.1,295,82,0.02,10.91015598,63,1141,0.415,113,63,6.73,26616792,0.1,369.835796,57.5
8.1,2006,19.2,19.3,295,84,0.03,17.17151751,64,1990,0.405,116,58,7.43,2589345,0.1,272.56377,57.3
7.9,2005,19.3,19.5,291,85,0.02,1.388647732,66,1296,0.396,118,58,8.7,257798,0.1,25.2941299,57.3
6.8,2004,19.5,19.7,293,87,0.02,15.29606643,67,466,0.381,120,5,8.79,24118979,0.1,219.1413528,57
6.5,2003,19.7,19.9,295,87,0.01,11.08905273,65,798,0.373,122,41,8.82,2364851,0.1,198.7285436,56.7
6.2,2002,19.9,2.2,3,88,0.01,16.88735091,64,2486,0.341,122,36,7.76,21979923,0.1,187.84595,56.2
5.9,2001,2.1,2.4,316,88,0.01,10.5747282,63,8762,0.34,122,35,7.8,2966463,0.1,117.49698,55.3
5.5,2000,2.3,2.5,321,88,0.01,10.42496,62,6532,0.338,122,24,8.2,293756,0.1,114.56,54.8
14.2,2015,1.2,1.3,74,0,4.6,364.9752287,99,0,0.762,0,99,6,28873,0.1,3954.22783,77.8
14.2,2014,1.2,1.3,8,0,4.51,428.7490668,98,0,0.761,1,98,5.88,288914,0.1,4575.763787,77.5
14.2,2013,1.3,1.4,84,0,4.76,430.8769785,99,0,0.759,1,99,5.66,289592,0.1,4414.72314,77.2
14.2,2012,1.3,1.4,86,0,5.14,412.4433563,99,9,0.752,1,99,5.59,2941,0.1,4247.61438,76.9
13.3,2011,1.4,1.5,88,0,5.37,437.0621,99,28,0.738,1,99,5.71,295195,0.1,4437.17868,76.6
12.5,2010,1.4,1.5,91,1,5.28,41.82275719,99,10,0.725,1,99,5.34,291321,0.1,494.358832,76.2
12.2,2009,1.5,1.6,91,1,5.79,348.0559517,98,0,0.721,1,98,5.79,2927519,0.1,4114.136545,76.1
12,2008,1.6,1.6,1,1,5.61,36.62206845,99,0,0.713,1,99,5.87,2947314,0.1,437.539647,75.3
11.6,2007,1.6,1.7,9,1,5.58,32.24655228,98,22,0.703,1,99,6.1,29717,0.1,363.13685,75.9
11.4,2006,1.7,1.8,99,1,5.31,3.3021542,98,68,0.696,1,97,5.86,2992547,0.1,35.1293,74.2
10.8,2005,1.8,1.8,15,1,5.16,26.99312143,98,6,0.685,1,97,6.12,311487,0.1,279.142931,73.5
10.9,2004,1.8,1.9,17,1,4.54,221.8428,99,7,0.681,1,98,6.38,326939,0.1,2416.588235,73
10.7,2003,1.9,2,18,1,4.29,14.71928882,97,8,0.674,1,97,6.27,339616,0.1,189.681557,72.8
10.7,2002,2,2.1,15,1,3.73,104.5169157,96,16,0.67,1,98,6.3,3511,0.1,1453.642777,73.3
10.6,2001,2.1,2.1,14,1,4.25,96.20557078,96,18,0.662,1,97,6,36173,0.1,1326.97339,73.6
10.7,2000,2.1,2.2,11,1,3.66,91.71154052,96,662,0.656,1,97,6.26,38927,0.1,1175.788981,72.6
14.4,2015,6,5.8,19,21,,0,95,63,0.743,24,95,,39871528,0.1,4132.76292,75.6
14.4,2014,6,5.8,11,21,0.01,54.2373183,95,0,0.741,24,95,7.21,39113313,0.1,547.8517,75.4
14.4,2013,5.9,5.8,112,21,0.53,544.4507432,95,25,0.737,24,95,7.12,38338562,0.1,5471.866766,75.3
14.4,2012,5.9,5.8,113,21,0.66,555.9260834,95,18,0.732,24,95,6.14,37565847,0.1,5564.82566,75.1
14,2011,5.9,5.8,116,21,0.56,509.0020405,95,112,0.724,24,95,5.29,36819558,0.1,5432.2523,74.9
13.6,2010,5.9,5.8,119,21,0.45,430.7175861,95,103,0.714,24,95,5.12,36117637,0.1,4463.394675,74.7
13.1,2009,6,5.9,123,20,0.5,352.0636419,94,107,0.705,23,94,5.36,3546576,0.1,3868.83123,74.4
12.6,2008,6,5.9,126,20,0.46,43.08717334,91,217,0.697,23,92,4.2,3486715,0.1,495.254866,74.1
12.3,2007,6,5.9,129,20,0.44,320.3239241,9,0,0.69,23,95,3.82,34376,0.1,3935.183343,73.8
12.3,2006,6.1,6,132,20,0.36,270.2401962,8,944,0.686,23,95,3.36,33777915,0.1,3464.6179,73.4
12,2005,6.1,6,136,19,0.5,2.548922758,83,2302,0.68,22,88,3.24,33288437,0.1,31.122378,72.9
11.7,2004,6.2,6.1,14,19,0.45,220.393699,81,3289,0.673,23,86,3.54,3283196,0.1,2598.9823,72.3
11.5,2003,6.3,6.1,146,20,0.34,25.0185226,,15374,0.663,23,87,3.6,3243514,0.1,294.33556,71.7
11.1,2002,6.3,6.2,145,20,0.36,148.5119843,,5862,0.653,23,86,3.73,3199546,0.1,1774.33673,71.6
10.9,2001,6.4,6.3,145,20,0.23,147.9860714,,2686,0.644,24,89,3.84,31592153,0.1,1732.857979,71.4
10.7,2000,6.5,6.4,145,21,0.25,154.4559436,,0,0.636,25,86,3.49,3118366,0.1,1757.17797,71.3
11.4,2015,8.3,8.2,335,66,,0,64,118,0.531,98,7,,2785935,1.9,3695.793748,52.4
11.4,2014,8.5,8.3,348,67,8.33,23.965612,64,11699,0.527,101,68,3.31,2692466,2,479.31224,51.7
11.4,2013,8.6,8.5,355,69,8.1,35.95857279,77,8523,0.523,105,67,4.26,2599834,2.3,484.616884,51.1
10.3,2012,8.8,8.6,358,72,8.24,256.1225243,75,4458,0.508,110,75,3.3,259615,2.6,4598.249988,56
9.4,2011,8.9,8.8,361,75,8.06,239.8913921,72,1449,0.495,115,73,3.38,24218565,2.5,4299.12889,51
9,2010,9.1,9,365,78,7.8,191.6537407,77,1190,0.488,121,81,3.39,23369131,2.5,3529.53482,49.6
8.5,2009,9.3,9.2,369,81,7.01,212.9229325,61,2807,0.48,127,63,4.37,22549547,2.5,3347.84485,49.1
8.1,2008,9.5,9.4,371,84,7.07,249.9101958,69,265,0.468,133,65,3.84,2175942,2.6,3868.578883,48.7
7.7,2007,9.6,9.6,375,87,6.35,184.8213446,73,1014,0.454,138,75,3.38,2997687,2.6,2878.837144,48.2
7.2,2006,9.8,9.7,381,90,5.84,25.08688824,,765,0.439,143,36,4.54,2262399,2.5,262.415149,47.7
